index,x_transformed,y_transformed
0,4960.000244140701,6346.490234375001
1,4940.000244140701,6346.490234375001
2,4920.000244140701,6346.490234375001
3,4900.000244140701,6346.490234375001
4,4880.000244140701,6346.490234375001
5,4860.000244140701,6346.490234375001
6,4840.000244140701,6346.490234375001
7,4820.000244140701,6346.490234375001
8,4800.000244140701,6346.490234375001
9,4780.000244140701,6346.490234375001
10,4760.0002441407005,6346.490234375001
11,4740.0002441407005,6346.490234375001
12,4720.0002441407005,6346.490234375001
13,4700.0002441407005,6346.490234375001
14,4680.0002441407005,6346.490234375001
15,4660.0002441407005,6346.490234375001
16,4640.0002441407005,6346.490234375001
17,4620.0002441407005,6346.490234375001
18,4600.0002441407005,6346.490234375001
19,4580.0002441407005,6346.490234375001
20,4560.0002441407005,6346.490234375001
21,4540.0002441407005,6346.490234375001
22,4520.0002441407005,6346.490234375001
23,4500.0002441407005,6346.490234375001
24,4480.0002441407005,6346.490234375001
25,4460.0002441407005,6346.490234375001
26,4440.0002441407005,6346.490234375001
27,4420.0002441407005,6346.490234375001
28,4400.0002441407005,6346.490234375001
29,4380.0002441407005,6346.490234375001
30,4360.0002441407005,6346.490234375001
31,4340.0002441407005,6346.490234375001
32,4320.0002441407005,6346.490234375001
33,4300.0002441407005,6346.490234375001
34,4280.0002441407005,6346.490234375001
35,4260.0002441407005,6346.490234375001
36,4240.0002441407005,6346.490234375001
37,4220.0002441407005,6346.490234375001
38,4200.0002441407005,6346.490234375001
39,5060.000244140701,6326.490234375001
40,5040.000244140701,6326.490234375001
41,5020.000244140701,6326.490234375001
42,5000.000244140701,6326.490234375001
43,4980.000244140701,6326.490234375001
44,4960.000244140701,6326.490234375001
45,4940.000244140701,6326.490234375001
46,4920.000244140701,6326.490234375001
47,4900.000244140701,6326.490234375001
48,4880.000244140701,6326.490234375001
49,4860.000244140701,6326.490234375001
50,4840.000244140701,6326.490234375001
51,4820.000244140701,6326.490234375001
52,4800.000244140701,6326.490234375001
53,4780.000244140701,6326.490234375001
54,4760.0002441407005,6326.490234375001
55,4740.0002441407005,6326.490234375001
56,4720.0002441407005,6326.490234375001
57,4700.0002441407005,6326.490234375001
58,4680.0002441407005,6326.490234375001
59,4660.0002441407005,6326.490234375001
60,4640.0002441407005,6326.490234375001
61,4620.0002441407005,6326.490234375001
62,4600.0002441407005,6326.490234375001
63,4580.0002441407005,6326.490234375001
64,4560.0002441407005,6326.490234375001
65,4540.0002441407005,6326.490234375001
66,4520.0002441407005,6326.490234375001
67,4500.0002441407005,6326.490234375001
68,4480.0002441407005,6326.490234375001
69,4460.0002441407005,6326.490234375001
70,4440.0002441407005,6326.490234375001
71,4420.0002441407005,6326.490234375001
72,4400.0002441407005,6326.490234375001
73,4380.0002441407005,6326.490234375001
74,4360.0002441407005,6326.490234375001
75,4340.0002441407005,6326.490234375001
76,4320.0002441407005,6326.490234375001
77,4300.0002441407005,6326.490234375001
78,4280.0002441407005,6326.490234375001
79,4260.0002441407005,6326.490234375001
80,4240.0002441407005,6326.490234375001
81,4220.0002441407005,6326.490234375001
82,4200.0002441407005,6326.490234375001
83,4180.0002441407005,6326.490234375001
84,4160.0002441407005,6326.490234375001
85,4140.0002441407005,6326.490234375001
86,4120.0002441407005,6326.490234375001
87,4100.0002441407005,6326.490234375001
88,4080.0002441407005,6326.490234375001
89,4060.0002441407005,6326.490234375001
90,5140.0002441407005,6306.490234375001
91,5120.0002441407005,6306.490234375001
92,5100.000244140701,6306.490234375001
93,5080.000244140701,6306.490234375001
94,5060.000244140701,6306.490234375001
95,5040.000244140701,6306.490234375001
96,5020.000244140701,6306.490234375001
97,5000.000244140701,6306.490234375001
98,4980.000244140701,6306.490234375001
99,4960.000244140701,6306.490234375001
100,4940.000244140701,6306.490234375001
101,4920.000244140701,6306.490234375001
102,4900.000244140701,6306.490234375001
103,4880.000244140701,6306.490234375001
104,4860.000244140701,6306.490234375001
105,4840.000244140701,6306.490234375001
106,4820.000244140701,6306.490234375001
107,4800.000244140701,6306.490234375001
108,4780.000244140701,6306.490234375001
109,4760.0002441407005,6306.490234375001
110,4740.0002441407005,6306.490234375001
111,4720.0002441407005,6306.490234375001
112,4700.0002441407005,6306.490234375001
113,4680.0002441407005,6306.490234375001
114,4660.0002441407005,6306.490234375001
115,4640.0002441407005,6306.490234375001
116,4620.0002441407005,6306.490234375001
117,4600.0002441407005,6306.490234375001
118,4580.0002441407005,6306.490234375001
119,4560.0002441407005,6306.490234375001
120,4540.0002441407005,6306.490234375001
121,4520.0002441407005,6306.490234375001
122,4500.0002441407005,6306.490234375001
123,4480.0002441407005,6306.490234375001
124,4460.0002441407005,6306.490234375001
125,4440.0002441407005,6306.490234375001
126,4420.0002441407005,6306.490234375001
127,4400.0002441407005,6306.490234375001
128,4380.0002441407005,6306.490234375001
129,4360.0002441407005,6306.490234375001
130,4340.0002441407005,6306.490234375001
131,4320.0002441407005,6306.490234375001
132,4300.0002441407005,6306.490234375001
133,4280.0002441407005,6306.490234375001
134,4260.0002441407005,6306.490234375001
135,4240.0002441407005,6306.490234375001
136,4220.0002441407005,6306.490234375001
137,4200.0002441407005,6306.490234375001
138,4180.0002441407005,6306.490234375001
139,4160.0002441407005,6306.490234375001
140,4140.0002441407005,6306.490234375001
141,4120.0002441407005,6306.490234375001
142,4100.0002441407005,6306.490234375001
143,4080.0002441407005,6306.490234375001
144,4060.0002441407005,6306.490234375001
145,4040.0002441407005,6306.490234375001
146,4020.0002441407005,6306.490234375001
147,4000.0002441407005,6306.490234375001
